Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
2.41 23.94 1022.15 28.23 0.032208 -0.037088 1.012112 0.63 0.07 -0.77 -0.1350 -0.4890 -0.6345
2.42 23.94 1022.15 28.24 0.031720 -0.036112 1.011136 0.63 0.07 -0.84 -0.1350 -0.4935 -0.6375
2.43 23.94 1022.18 28.23 0.032208 -0.036600 1.012112 0.63 0.07 -0.77 -0.1425 -0.5025 -0.6330
2.44 23.94 1022.16 28.22 0.031720 -0.036112 1.011624 0.63 0.07 -0.77 -0.1380 -0.4905 -0.6330
2.45 23.94 1022.09 28.25 0.032696 -0.035624 1.011624 0.63 0.14 -0.77 -0.1290 -0.4890 -0.6360
2.46 23.94 1022.09 28.28 0.032696 -0.035624 1.011624 0.56 0.07 -0.77 -0.1335 -0.4920 -0.6345
2.47 23.94 1022.27 28.23 0.032208 -0.038064 1.013088 0.56 0.07 -0.77 -0.1380 -0.4980 -0.6360
2.48 23.94 1022.13 28.24 0.035136 -0.035624 1.012112 0.63 0.07 -0.77 -0.1365 -0.4905 -0.6360
2.49 23.94 1022.20 28.22 0.033184 -0.036112 1.011624 0.56 0.07 -0.77 -0.1365 -0.4905 -0.6375
2.50 23.94 1022.20 28.20 0.032696 -0.035136 1.011624 0.63 0.07 -0.77 -0.1335 -0.4890 -0.6465
2.51 23.94 1022.17 28.20 0.032696 -0.035136 1.012112 0.63 0.07 -0.77 -0.1320 -0.4875 -0.6345
2.52 23.94 1022.15 28.20 0.032696 -0.036600 1.012112 0.63 0.07 -0.77 -0.1365 -0.4920 -0.6375
2.53 23.94 1022.15 28.21 0.032696 -0.035136 1.012112 0.56 0.07 -0.77 -0.1365 -0.4890 -0.6465
2.54 23.94 1022.21 28.19 0.033184 -0.037088 1.012112 0.56 0.07 -0.77 -0.1320 -0.4920 -0.6405
2.55 23.94 1022.19 28.17 0.033184 -0.035624 1.010160 0.56 0.07 -0.77 -0.1335 -0.4920 -0.6360
2.56 23.94 1022.14 28.18 0.034160 -0.037576 1.012112 0.63 0.07 -0.77 -0.1215 -0.4980 -0.6345
2.57 23.94 1022.14 28.19 0.032696 -0.036112 1.013576 0.63 0.14 -0.84 -0.1350 -0.5025 -0.6345
2.58 23.94 1022.14 28.20 0.032696 -0.038064 1.012600 0.56 0.07 -0.84 -0.1350 -0.4890 -0.6315
2.59 23.94 1022.16 28.20 0.032696 -0.038064 1.012112 0.56 0.07 -0.77 -0.1335 -0.4950 -0.6390
2.60 23.94 1022.17 28.19 0.032696 -0.036600 1.011624 0.56 0.07 -0.77 -0.1395 -0.4905 -0.6330
2.61 23.94 1022.17 28.19 0.032208 -0.036600 1.012112 0.63 0.07 -0.77 -0.1245 -0.4950 -0.6375
2.62 23.94 1022.14 28.20 0.032208 -0.037088 1.012600 0.63 0.07 -0.77 -0.1335 -0.4875 -0.6330
2.63 23.94 1022.10 28.22 0.033672 -0.036600 1.013088 0.63 0.14 -0.77 -0.1380 -0.4950 -0.6390
2.64 23.94 1022.14 28.23 0.032208 -0.035136 1.012600 0.63 0.07 -0.77 -0.1350 -0.4980 -0.6285
2.65 23.94 1022.14 28.24 0.032208 -0.037088 1.011136 0.63 0.07 -0.77 -0.1320 -0.4830 -0.6345
2.66 23.94 1022.24 28.20 0.030744 -0.037088 1.013576 0.56 0.07 -0.77 -0.1410 -0.4950 -0.6330
2.67 23.94 1022.23 28.17 0.033184 -0.036112 1.013088 0.63 0.07 -0.77 -0.1275 -0.4950 -0.6360
2.68 23.94 1022.12 28.19 0.031720 -0.036600 1.013088 0.56 0.07 -0.77 -0.1335 -0.4965 -0.6270
2.69 23.94 1022.12 28.20 0.032208 -0.036600 1.012112 0.56 0.14 -0.77 -0.1365 -0.4875 -0.6315
2.70 23.94 1022.16 28.20 0.032208 -0.036600 1.013576 0.56 0.14 -0.84 -0.1365 -0.4965 -0.6300
2.71 23.94 1022.14 28.21 0.032208 -0.037088 1.012600 0.56 0.07 -0.77 -0.1395 -0.4830 -0.6360
2.72 23.94 1022.18 28.20 0.034648 -0.036112 1.012112 0.63 0.07 -0.77 -0.1350 -0.4875 -0.6360
2.73 23.94 1022.18 28.20 0.032696 -0.033672 1.012112 0.56 0.07 -0.77 -0.1305 -0.4965 -0.6345
2.74 23.94 1022.23 28.17 0.032696 -0.036600 1.013576 0.63 0.07 -0.77 -0.1440 -0.4920 -0.6315
2.75 23.94 1022.15 28.17 0.033184 -0.035624 1.013088 0.63 0.07 -0.77 -0.1320 -0.4920 -0.6375
2.76 23.94 1022.16 28.17 0.033672 -0.036112 1.012112 0.56 0.07 -0.77 -0.1440 -0.4875 -0.6405
2.77 23.94 1022.16 28.17 0.031720 -0.037088 1.013088 0.63 0.07 -0.84 -0.1305 -0.4845 -0.6345
2.78 23.94 1022.18 28.17 0.033672 -0.037576 1.013576 0.56 0.07 -0.77 -0.1305 -0.4905 -0.6360
2.79 23.94 1022.12 28.18 0.034648 -0.035624 1.014064 0.56 0.07 -0.77 -0.1365 -0.4920 -0.6405
2.80 23.94 1022.23 28.15 0.033672 -0.035136 1.012600 0.56 0.07 -0.77 -0.1380 -0.4905 -0.6375
2.81 23.94 1022.23 28.13 0.031720 -0.036600 1.011624 0.56 0.07 -0.77 -0.1350 -0.4935 -0.6375
2.82 23.94 1022.20 28.11 0.032696 -0.037576 1.013088 0.56 0.07 -0.77 -0.1305 -0.4905 -0.6300
2.83 23.94 1022.05 28.16 0.033672 -0.035624 1.010160 0.56 0.07 -0.77 -0.1290 -0.4905 -0.6375
2.84 23.94 1022.14 28.17 0.033184 -0.036112 1.012112 0.56 0.14 -0.77 -0.1365 -0.4935 -0.6375
2.85 23.94 1022.14 28.18 0.032696 -0.036112 1.012600 0.56 0.07 -0.77 -0.1410 -0.4890 -0.6345
2.86 23.94 1022.08 28.21 0.032208 -0.036112 1.011624 0.63 0.07 -0.77 -0.1380 -0.4965 -0.6360
2.87 23.94 1022.15 28.22 0.034648 -0.038552 1.012600 0.56 0.07 -0.77 -0.1290 -0.4905 -0.6330
2.88 23.94 1022.11 28.24 0.033184 -0.036112 1.013088 0.56 0.07 -0.77 -0.1320 -0.4950 -0.6405
2.89 23.94 1022.11 28.26 0.030744 -0.036112 1.012112 0.56 0.07 -0.77 -0.1350 -0.4995 -0.6390
2.90 23.94 1022.15 28.26 0.032696 -0.037576 1.012600 0.56 0.07 -0.84 -0.1350 -0.4920 -0.6315
2.91 23.94 1022.13 28.27 0.032696 -0.036600 1.011624 0.63 0.07 -0.77 -0.1350 -0.4890 -0.6330
2.92 23.94 1022.22 28.24 0.031232 -0.036600 1.013088 0.56 0.07 -0.77 -0.1365 -0.4860 -0.6420
2.93 23.94 1022.22 28.21 0.033184 -0.036600 1.011624 0.63 0.14 -0.77 -0.1305 -0.4905 -0.6315
2.94 23.94 1022.18 28.20 0.032696 -0.035136 1.011624 0.63 0.14 -0.77 -0.1395 -0.4905 -0.6345
2.95 23.94 1022.19 28.19 0.032696 -0.037088 1.011624 0.63 0.07 -0.77 -0.1365 -0.5010 -0.6345
2.96 23.94 1022.11 28.21 0.032696 -0.036600 1.011624 0.63 0.07 -0.77 -0.1335 -0.4845 -0.6330
2.97 23.94 1022.11 28.24 0.033672 -0.037576 1.011624 0.56 0.07 -0.77 -0.1200 -0.4935 -0.6345
2.98 23.94 1022.11 28.26 0.034160 -0.037576 1.011624 0.56 0.07 -0.77 -0.1320 -0.4845 -0.6330
2.99 23.94 1022.10 28.28 0.033184 -0.037088 1.012112 0.63 0.07 -0.77 -0.1305 -0.4995 -0.6345
3.00 23.94 1022.13 28.29 0.034160 -0.036112 1.012112 0.63 0.07 -0.77 -0.1410 -0.4905 -0.6345
3.01 23.94 1022.13 28.29 0.031720 -0.037088 1.011624 0.56 0.07 -0.77 -0.1380 -0.5010 -0.6390
3.02 23.88 1022.20 28.27 0.031720 -0.035624 1.012112 0.56 0.07 -0.77 -0.1365 -0.4965 -0.6420
3.04 23.88 1022.14 28.28 0.033672 -0.037576 1.012600 0.56 0.07 -0.77 -0.1290 -0.4935 -0.6360
3.05 23.88 1022.14 28.29 0.033184 -0.037088 1.010160 0.63 0.07 -0.77 -0.1380 -0.4875 -0.6420
3.06 23.88 1022.23 28.25 0.032208 -0.035624 1.011624 0.63 0.07 -0.77 -0.1380 -0.4920 -0.6345
3.08 23.88 1022.11 28.27 0.033184 -0.035624 1.012112 0.56 0.07 -0.77 -0.1335 -0.4965 -0.6375
3.10 23.88 1022.25 28.23 0.029768 -0.036112 1.012600 0.63 0.07 -0.77 -0.1365 -0.4920 -0.6420
3.12 23.88 1022.24 28.19 0.030256 -0.036112 1.011624 0.56 0.07 -0.77 -0.1410 -0.4785 -0.6330
3.14 23.94 1022.18 28.18 0.031720 -0.035136 1.012112 0.56 0.07 -0.77 -0.1380 -0.4950 -0.6360
3.15 23.94 1022.15 28.19 0.030744 -0.035136 1.012112 0.56 0.07 -0.77 -0.1335 -0.4950 -0.6435
3.16 23.94 1022.15 28.19 0.034160 -0.035624 1.010648 0.56 0.07 -0.77 -0.1335 -0.4875 -0.6420
3.17 23.94 1022.18 28.18 0.032208 -0.034160 1.011136 0.63 0.07 -0.84 -0.1305 -0.4950 -0.6405
3.18 23.94 1022.26 28.14 0.032696 -0.035136 1.012112 0.56 0.07 -0.77 -0.1350 -0.4905 -0.6390
3.19 23.94 1022.15 28.15 0.032208 -0.035624 1.013088 0.56 0.07 -0.77 -0.1395 -0.4935 -0.6375
3.20 23.94 1022.15 28.15 0.032208 -0.035136 1.012112 0.63 0.07 -0.84 -0.1380 -0.4860 -0.6420
3.21 23.94 1022.19 28.14 0.033672 -0.035136 1.012112 0.63 0.07 -0.77 -0.1335 -0.4905 -0.6405
3.22 23.94 1022.18 28.14 0.032208 -0.036600 1.011624 0.63 0.07 -0.77 -0.1410 -0.4875 -0.6375
3.23 23.94 1022.26 28.10 0.032696 -0.036112 1.011624 0.63 0.07 -0.77 -0.1305 -0.4860 -0.6345
3.24 23.94 1022.26 28.06 0.032208 -0.035136 1.012600 0.56 0.07 -0.77 -0.1365 -0.4890 -0.6375
3.25 23.94 1022.24 28.03 0.033184 -0.036600 1.011136 0.56 0.07 -0.77 -0.1245 -0.4950 -0.6330
3.26 23.94 1022.16 28.04 0.034160 -0.036600 1.013576 0.56 0.07 -0.77 -0.1350 -0.4860 -0.6405
3.27 23.94 1022.21 28.03 0.031232 -0.037576 1.013088 0.56 0.07 -0.77 -0.1260 -0.4935 -0.6285
3.28 23.94 1022.21 28.02 0.032696 -0.036112 1.012600 0.56 0.07 -0.77 -0.1395 -0.4875 -0.6390
3.29 23.94 1022.21 28.01 0.032696 -0.037088 1.011136 0.56 0.07 -0.84 -0.1320 -0.4860 -0.6315
3.30 23.94 1022.20 28.00 0.033672 -0.036112 1.013576 0.63 0.07 -0.77 -0.1335 -0.4950 -0.6375
3.31 23.94 1022.19 28.00 0.032208 -0.037088 1.012112 0.63 0.07 -0.70 -0.1380 -0.4905 -0.6300
3.32 23.94 1022.19 28.00 0.032696 -0.036112 1.011136 0.63 0.14 -0.77 -0.1380 -0.4935 -0.6255
3.33 23.94 1022.14 28.01 0.033672 -0.036600 1.013576 0.56 0.07 -0.77 -0.1410 -0.4950 -0.6270
3.34 23.94 1022.15 28.03 0.031720 -0.035624 1.011624 0.56 0.07 -0.77 -0.1410 -0.4905 -0.6330
3.35 23.94 1022.23 28.01 0.033184 -0.035624 1.012600 0.63 0.07 -0.77 -0.1350 -0.4815 -0.6315
3.36 23.94 1022.23 27.99 0.033184 -0.036112 1.013088 0.56 0.07 -0.77 -0.1335 -0.4920 -0.6270
3.37 23.94 1022.06 28.05 0.032696 -0.038064 1.011624 0.56 0.07 -0.77 -0.1350 -0.4920 -0.6345
3.38 23.94 1022.05 28.10 0.032208 -0.036600 1.011136 0.56 0.07 -0.84 -0.1500 -0.4950 -0.6375
3.39 23.88 1022.21 28.08 0.032208 -0.038064 1.011624 0.56 0.07 -0.84 -0.1245 -0.4905 -0.6315
3.40 23.88 1022.21 28.07 0.031720 -0.036600 1.012600 0.56 0.07 -0.77 -0.1380 -0.4890 -0.6390
3.42 23.88 1022.17 28.07 0.032696 -0.037576 1.013088 0.56 0.07 -0.77 -0.1320 -0.4935 -0.6450
3.43 23.88 1022.11 28.10 0.032208 -0.035624 1.013576 0.63 0.07 -0.77 -0.1365 -0.4875 -0.6390
3.45 23.88 1022.18 28.10 0.033672 -0.036112 1.011136 0.56 0.07 -0.84 -0.1380 -0.4875 -0.6405
3.46 23.88 1022.19 28.09 0.032696 -0.037088 1.012112 0.56 0.07 -0.70 -0.1380 -0.4905 -0.6375
3.47 23.88 1022.21 28.08 0.032696 -0.037088 1.012600 0.63 0.07 -0.77 -0.1320 -0.4935 -0.6450
3.48 23.88 1022.21 28.06 0.032696 -0.036600 1.011624 0.63 0.07 -0.77 -0.1305 -0.4980 -0.6375
3.49 23.88 1022.09 28.10 0.030256 -0.038064 1.011136 0.63 0.14 -0.84 -0.1335 -0.4920 -0.6390
3.51 23.94 1022.18 28.10 0.031720 -0.036112 1.012600 0.63 0.07 -0.77 -0.1320 -0.4935 -0.6375
3.52 23.94 1022.18 28.09 0.033184 -0.036112 1.011624 0.63 0.07 -0.77 -0.1365 -0.4860 -0.6360
3.53 23.94 1022.12 28.12 0.033672 -0.036112 1.015040 0.63 0.07 -0.77 -0.1305 -0.4860 -0.6375
3.54 23.94 1022.20 28.10 0.033184 -0.036600 1.011624 0.56 0.07 -0.77 -0.1380 -0.4875 -0.6405
3.55 23.94 1022.18 28.10 0.033184 -0.036112 1.011136 0.56 0.07 -0.84 -0.1350 -0.4845 -0.6315
3.56 23.94 1022.18 28.10 0.033184 -0.037088 1.012600 0.56 0.07 -0.84 -0.1350 -0.4950 -0.6300
3.57 23.94 1022.14 28.11 0.032208 -0.037576 1.012600 0.56 0.07 -0.77 -0.1365 -0.4950 -0.6315
3.58 23.94 1022.15 28.12 0.031720 -0.035624 1.011136 0.63 0.07 -0.77 -0.1275 -0.4920 -0.6435
3.59 23.94 1022.15 28.13 0.032208 -0.035624 1.013576 0.56 0.07 -0.77 -0.1200 -0.4920 -0.6420
3.60 23.94 1022.08 28.16 0.031720 -0.038064 1.012112 0.56 0.07 -0.84 -0.1350 -0.4875 -0.6300
3.61 23.94 1022.07 28.20 0.033184 -0.036112 1.011136 0.56 0.00 -0.77 -0.1305 -0.4980 -0.6345
3.62 23.94 1022.19 28.19 0.032208 -0.036112 1.012600 0.56 0.07 -0.77 -0.1365 -0.4905 -0.6405
3.63 23.94 1022.19 28.18 0.030744 -0.038552 1.013088 0.63 0.07 -0.77 -0.1380 -0.4860 -0.6405
3.64 23.94 1022.20 28.17 0.034160 -0.038064 1.012600 0.63 0.07 -0.77 -0.1245 -0.4815 -0.6360
3.65 23.94 1022.20 28.15 0.032696 -0.037088 1.015040 0.63 0.14 -0.77 -0.1365 -0.4995 -0.6390
3.66 23.94 1022.12 28.17 0.031720 -0.036600 1.013088 0.63 0.07 -0.77 -0.1365 -0.4980 -0.6360
3.67 23.94 1022.12 28.19 0.034160 -0.036600 1.012112 0.63 0.07 -0.77 -0.1350 -0.4845 -0.6360
3.68 23.94 1022.30 28.13 0.033184 -0.035136 1.012600 0.63 0.07 -0.77 -0.1380 -0.4890 -0.6390
3.69 23.94 1022.15 28.14 0.032696 -0.036112 1.012112 0.56 0.07 -0.77 -0.1320 -0.4875 -0.6360
3.70 23.94 1022.19 28.13 0.031232 -0.036112 1.012600 0.63 0.14 -0.77 -0.1395 -0.4935 -0.6285
3.71 23.94 1022.19 28.12 0.033184 -0.037576 1.012600 0.63 0.07 -0.77 -0.1320 -0.4875 -0.6345
3.72 23.94 1022.11 28.14 0.031232 -0.036600 1.013576 0.63 0.07 -0.77 -0.1365 -0.5025 -0.6315
3.73 23.94 1022.07 28.18 0.031720 -0.036600 1.012600 0.63 0.00 -0.77 -0.1320 -0.4965 -0.6315
3.74 23.94 1022.06 28.23 0.034160 -0.035136 1.011136 0.56 0.07 -0.77 -0.1425 -0.4845 -0.6375
3.75 23.94 1022.06 28.27 0.031232 -0.037088 1.012112 0.63 0.07 -0.77 -0.1290 -0.4965 -0.6285
3.76 23.94 1022.18 28.26 0.031232 -0.037088 1.012600 0.63 0.00 -0.84 -0.1380 -0.4920 -0.6300
3.77 23.94 1022.19 28.24 0.032208 -0.037088 1.013088 0.56 0.07 -0.77 -0.1275 -0.4890 -0.6360
3.78 23.94 1022.13 28.26 0.034160 -0.036600 1.012600 0.63 0.07 -0.77 -0.1260 -0.4965 -0.6315
3.79 23.94 1022.13 28.27 0.031720 -0.037088 1.013088 0.63 0.07 -0.77 -0.1425 -0.4935 -0.6375
3.80 23.94 1022.18 28.26 0.033184 -0.036600 1.012112 0.56 0.14 -0.77 -0.1305 -0.4890 -0.6345
3.81 23.94 1022.27 28.21 0.034648 -0.037088 1.011624 0.56 0.07 -0.77 -0.1290 -0.4920 -0.6240
3.82 23.94 1022.19 28.19 0.033184 -0.037088 1.011136 0.56 0.07 -0.77 -0.1455 -0.4920 -0.6345
3.83 23.94 1022.19 28.18 0.033184 -0.034160 1.011624 0.63 0.07 -0.77 -0.1275 -0.4890 -0.6345
3.84 23.94 1022.20 28.17 0.032696 -0.035624 1.012112 0.56 0.07 -0.77 -0.1395 -0.4860 -0.6375
3.85 23.94 1022.11 28.19 0.031720 -0.037088 1.012112 0.63 0.14 -0.77 -0.1305 -0.4905 -0.6375
3.86 23.94 1022.27 28.14 0.033184 -0.037576 1.012600 0.63 0.07 -0.77 -0.1350 -0.4950 -0.6405
3.87 23.94 1022.27 28.10 0.031720 -0.036600 1.012112 0.63 0.07 -0.77 -0.1380 -0.4890 -0.6360
3.88 23.94 1022.14 28.11 0.031720 -0.036112 1.011624 0.56 0.07 -0.84 -0.1305 -0.4890 -0.6390
3.89 23.94 1022.07 28.15 0.031720 -0.036600 1.011136 0.56 0.07 -0.84 -0.1260 -0.4860 -0.6270
3.90 23.94 1022.13 28.17 0.033184 -0.035136 1.013576 0.56 0.00 -0.77 -0.1350 -0.4875 -0.6285
3.91 23.94 1022.13 28.18 0.032208 -0.037088 1.011624 0.56 0.07 -0.77 -0.1290 -0.4890 -0.6345
3.92 23.94 1022.15 28.18 0.033184 -0.034648 1.012600 0.63 0.07 -0.77 -0.1320 -0.4875 -0.6330
3.93 23.94 1022.08 28.22 0.033672 -0.036112 1.011624 0.63 0.07 -0.77 -0.1290 -0.5010 -0.6240
3.94 23.94 1022.17 28.21 0.032696 -0.036600 1.012600 0.56 0.07 -0.84 -0.1380 -0.4890 -0.6270
3.95 23.94 1022.17 28.21 0.033672 -0.038064 1.011624 0.63 0.07 -0.84 -0.1335 -0.4935 -0.6360
3.96 23.94 1022.10 28.23 0.032696 -0.035624 1.011624 0.63 0.07 -0.77 -0.1365 -0.4785 -0.6315
3.97 23.94 1022.16 28.23 0.032208 -0.036600 1.012112 0.56 0.07 -0.77 -0.1245 -0.4995 -0.6300
3.98 23.94 1022.16 28.23 0.033184 -0.036600 1.011136 0.56 0.07 -0.84 -0.1365 -0.4875 -0.6315
3.99 23.94 1022.16 28.23 0.033184 -0.034160 1.011136 0.63 0.07 -0.84 -0.1260 -0.4995 -0.6270
4.00 23.94 1022.12 28.24 0.032696 -0.038064 1.011136 0.56 0.07 -0.77 -0.1350 -0.4950 -0.6330
4.01 23.94 1022.20 28.22 0.033184 -0.035136 1.011136 0.56 0.07 -0.84 -0.1425 -0.4860 -0.6285
4.02 23.94 1022.17 28.22 0.033672 -0.038552 1.012112 0.56 0.07 -0.77 -0.1350 -0.4830 -0.6420
4.03 23.94 1022.17 28.21 0.032208 -0.038064 1.013088 0.56 0.07 -0.77 -0.1335 -0.4875 -0.6315
4.04 23.94 1022.12 28.23 0.032696 -0.035136 1.012112 0.63 0.14 -0.77 -0.1350 -0.4860 -0.6330
4.05 23.94 1022.09 28.26 0.033184 -0.037088 1.014064 0.56 0.07 -0.84 -0.1290 -0.4920 -0.6345
4.06 23.94 1022.19 28.25 0.033184 -0.035624 1.011624 0.56 0.07 -0.84 -0.1275 -0.4890 -0.6390
4.07 23.94 1022.19 28.23 0.032696 -0.036112 1.013088 0.63 0.07 -0.77 -0.1380 -0.4860 -0.6270
4.08 23.94 1022.16 28.23 0.033184 -0.037576 1.011624 0.63 0.07 -0.77 -0.1365 -0.4950 -0.6390
4.09 23.94 1022.11 28.25 0.033672 -0.035624 1.012112 0.56 0.07 -0.77 -0.1395 -0.4860 -0.6345
4.10 23.94 1022.10 28.28 0.031720 -0.037088 1.012600 0.56 0.07 -0.77 -0.1410 -0.4965 -0.6330
4.11 23.94 1022.10 28.30 0.031720 -0.036112 1.012600 0.56 0.07 -0.77 -0.1305 -0.4965 -0.6270
4.12 23.94 1022.19 28.28 0.031232 -0.035136 1.011624 0.63 0.07 -0.77 -0.1440 -0.4845 -0.6390
4.13 23.94 1022.17 28.27 0.033184 -0.037088 1.013088 0.63 0.14 -0.84 -0.1335 -0.4920 -0.6285
4.14 23.94 1022.15 28.27 0.032208 -0.036112 1.012600 0.63 0.07 -0.84 -0.1335 -0.4890 -0.6360
4.15 23.94 1022.15 28.27 0.031720 -0.037088 1.012112 0.63 0.07 -0.84 -0.1350 -0.4830 -0.6285
4.16 23.94 1022.15 28.27 0.032696 -0.035136 1.012112 0.56 0.07 -0.77 -0.1410 -0.4785 -0.6390
4.17 23.94 1022.20 28.25 0.032696 -0.037088 1.013576 0.63 0.07 -0.84 -0.1350 -0.4905 -0.6285
4.18 23.94 1022.20 28.23 0.032208 -0.035624 1.013088 0.56 0.07 -0.77 -0.1365 -0.4860 -0.6315
4.19 23.94 1022.20 28.21 0.031720 -0.036112 1.012600 0.63 0.07 -0.77 -0.1260 -0.4965 -0.6315
4.20 23.94 1022.18 28.20 0.032208 -0.035624 1.012112 0.63 0.07 -0.84 -0.1425 -0.4965 -0.6315
4.21 23.94 1022.23 28.18 0.033672 -0.036600 1.014064 0.63 0.07 -0.77 -0.1380 -0.4980 -0.6360
4.22 23.94 1022.23 28.15 0.032696 -0.034160 1.012600 0.56 0.14 -0.84 -0.1440 -0.4965 -0.6345
4.23 23.94 1022.17 28.15 0.034648 -0.036600 1.012600 0.56 0.07 -0.84 -0.1395 -0.4845 -0.6270
4.24 23.94 1022.18 28.14 0.032208 -0.036600 1.012600 0.63 0.07 -0.77 -0.1395 -0.4890 -0.6360
4.25 23.94 1022.16 28.15 0.033672 -0.036600 1.012112 0.63 0.07 -0.77 -0.1425 -0.4890 -0.6285
4.26 23.94 1022.16 28.15 0.033672 -0.039040 1.011624 0.56 0.07 -0.84 -0.1395 -0.4935 -0.6345
4.27 23.94 1022.12 28.17 0.033672 -0.036600 1.012112 0.63 0.07 -0.77 -0.1365 -0.4875 -0.6405
4.28 23.94 1022.14 28.18 0.033184 -0.038552 1.012112 0.63 0.07 -0.77 -0.1305 -0.4950 -0.6255
4.29 23.94 1022.15 28.19 0.033184 -0.036600 1.012600 0.63 0.07 -0.77 -0.1410 -0.4995 -0.6420
4.30 23.94 1022.15 28.20 0.032696 -0.035624 1.012600 0.63 0.07 -0.77 -0.1350 -0.4935 -0.6225
4.31 23.94 1022.13 28.21 0.032696 -0.037088 1.011136 0.56 0.07 -0.77 -0.1335 -0.4860 -0.6315
4.32 23.94 1022.13 28.22 0.032696 -0.035136 1.014064 0.63 0.07 -0.77 -0.1365 -0.4890 -0.6285
4.33 23.94 1022.10 28.25 0.033184 -0.035624 1.012600 0.56 0.07 -0.77 -0.1305 -0.5010 -0.6255
4.34 23.94 1022.10 28.27 0.034648 -0.036112 1.012600 0.56 0.07 -0.84 -0.1365 -0.4890 -0.6405
4.35 23.94 1022.21 28.25 0.032696 -0.034648 1.011136 0.63 0.07 -0.84 -0.1365 -0.4890 -0.6330
4.36 23.94 1022.24 28.21 0.031720 -0.036600 1.013088 0.63 0.07 -0.84 -0.1350 -0.4905 -0.6240
4.37 23.94 1022.15 28.22 0.031720 -0.037088 1.012112 0.63 0.07 -0.84 -0.1395 -0.4860 -0.6330
4.38 23.94 1022.15 28.22 0.033184 -0.036600 1.012112 0.56 0.07 -0.77 -0.1335 -0.4920 -0.6360
4.39 23.94 1022.16 28.22 0.032696 -0.037088 1.012112 0.56 0.07 -0.84 -0.1410 -0.4950 -0.6405
4.40 23.94 1022.16 28.22 0.032208 -0.035624 1.012112 0.63 0.07 -0.77 -0.1335 -0.4905 -0.6360
4.41 23.94 1022.09 28.25 0.032696 -0.036600 1.011624 0.63 0.07 -0.70 -0.1365 -0.4905 -0.6360
4.42 23.94 1022.09 28.27 0.032208 -0.036112 1.012112 0.63 0.07 -0.77 -0.1365 -0.4995 -0.6330
4.43 23.94 1022.14 28.28 0.032208 -0.036112 1.013088 0.63 0.14 -0.77 -0.1245 -0.5010 -0.6315
4.44 23.94 1022.15 28.28 0.033672 -0.036112 1.013576 0.63 0.07 -0.77 -0.1350 -0.4860 -0.6360
4.45 23.94 1022.17 28.27 0.032696 -0.036600 1.012112 0.63 0.07 -0.77 -0.1350 -0.4845 -0.6330
4.46 23.94 1022.17 28.27 0.031232 -0.037088 1.012600 0.63 0.07 -0.84 -0.1305 -0.4875 -0.6330
4.47 23.94 1022.19 28.25 0.034648 -0.036112 1.011624 0.56 0.07 -0.77 -0.1335 -0.4935 -0.6330
4.48 23.94 1022.15 28.26 0.031232 -0.035136 1.012600 0.56 0.07 -0.77 -0.1275 -0.4935 -0.6435
4.49 23.94 1022.20 28.24 0.032696 -0.036112 1.013088 0.56 0.07 -0.77 -0.1305 -0.4950 -0.6345
4.50 23.94 1022.20 28.22 0.030744 -0.036600 1.013576 0.63 0.07 -0.77 -0.1320 -0.4905 -0.6300
4.51 23.94 1022.22 28.19 0.030256 -0.036112 1.012600 0.63 0.07 -0.77 -0.1335 -0.4920 -0.6420
4.52 23.94 1022.20 28.18 0.030744 -0.036112 1.012112 0.56 0.07 -0.77 -0.1320 -0.4920 -0.6360
4.53 23.94 1022.27 28.13 0.032696 -0.038064 1.013088 0.56 0.07 -0.77 -0.1335 -0.4935 -0.6315
4.54 23.94 1022.27 28.09 0.031720 -0.037576 1.012600 0.56 0.07 -0.77 -0.1380 -0.4860 -0.6315
4.55 23.94 1022.22 28.07 0.032208 -0.035624 1.013088 0.63 0.07 -0.77 -0.1215 -0.4905 -0.6345
4.56 23.94 1022.12 28.09 0.032696 -0.035136 1.011136 0.63 0.07 -0.77 -0.1320 -0.4815 -0.6405
4.57 23.94 1022.23 28.07 0.032696 -0.035624 1.012112 0.56 0.07 -0.77 -0.1290 -0.4905 -0.6315
4.58 23.94 1022.23 28.05 0.032208 -0.037576 1.011136 0.63 0.07 -0.77 -0.1320 -0.4950 -0.6360
4.59 23.94 1022.17 28.05 0.033672 -0.035136 1.013576 0.63 0.07 -0.84 -0.1320 -0.4905 -0.6420
4.60 23.94 1022.18 28.05 0.033184 -0.037576 1.012600 0.56 0.07 -0.77 -0.1305 -0.4800 -0.6360
4.61 23.94 1022.12 28.08 0.032696 -0.037576 1.011624 0.63 0.07 -0.77 -0.1320 -0.4845 -0.6390
4.62 23.94 1022.12 28.10 0.033184 -0.035624 1.012112 0.56 0.07 -0.77 -0.1365 -0.4875 -0.6345
4.63 23.94 1022.18 28.10 0.032208 -0.035136 1.012112 0.56 0.07 -0.77 -0.1275 -0.4920 -0.6360
4.64 23.94 1022.12 28.12 0.033184 -0.037088 1.012112 0.63 0.07 -0.77 -0.1260 -0.4935 -0.6345
4.65 23.94 1022.18 28.12 0.032208 -0.036600 1.013088 0.56 0.07 -0.77 -0.1425 -0.4935 -0.6405
