Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
0.63 23.94 1022.13 28.08 0.033184 -0.038552 1.012112 0.63 0.14 -0.77 -0.1380 -0.4935 -0.6345
0.64 23.94 1022.15 28.09 0.032696 -0.037576 1.013088 0.63 0.14 -0.77 -0.1365 -0.4980 -0.6435
0.65 23.94 1022.15 28.10 0.032208 -0.038064 1.012112 0.63 0.14 -0.77 -0.1335 -0.4905 -0.6405
0.66 23.94 1022.24 28.07 0.032208 -0.036600 1.012112 0.63 0.14 -0.77 -0.1380 -0.4935 -0.6360
0.67 23.94 1022.13 28.09 0.033184 -0.036600 1.013576 0.63 0.07 -0.77 -0.1395 -0.4905 -0.6360
0.68 23.94 1022.26 28.05 0.032208 -0.037576 1.012112 0.63 0.07 -0.77 -0.1335 -0.4875 -0.6345
0.69 23.94 1022.26 28.02 0.030744 -0.036112 1.012112 0.63 0.07 -0.77 -0.1290 -0.4800 -0.6315
0.70 23.94 1022.14 28.03 0.033184 -0.036112 1.012112 0.56 0.07 -0.77 -0.1305 -0.4950 -0.6315
0.71 23.94 1022.13 28.05 0.033672 -0.036112 1.012112 0.56 0.07 -0.77 -0.1410 -0.4950 -0.6390
0.72 23.94 1022.14 28.07 0.034160 -0.035624 1.012112 0.63 0.07 -0.77 -0.1395 -0.4890 -0.6330
0.73 23.94 1022.14 28.08 0.033184 -0.036112 1.012600 0.63 0.07 -0.77 -0.1275 -0.4920 -0.6300
0.74 23.94 1022.16 28.09 0.033672 -0.036112 1.012112 0.63 0.07 -0.77 -0.1350 -0.4905 -0.6450
0.75 23.94 1022.15 28.10 0.032696 -0.036600 1.014064 0.63 0.07 -0.77 -0.1365 -0.4890 -0.6315
0.76 23.94 1022.29 28.05 0.033184 -0.035624 1.012600 0.56 0.07 -0.84 -0.1455 -0.4890 -0.6405
0.77 23.94 1022.29 28.00 0.034648 -0.035136 1.012112 0.56 0.07 -0.77 -0.1380 -0.4995 -0.6255
0.78 23.94 1022.14 28.02 0.032696 -0.035624 1.011136 0.56 0.07 -0.77 -0.1305 -0.4935 -0.6435
0.79 23.94 1022.20 28.01 0.034160 -0.037576 1.012112 0.63 0.07 -0.77 -0.1425 -0.4950 -0.6360
0.80 23.94 1022.16 28.01 0.032208 -0.037576 1.013576 0.56 0.14 -0.77 -0.1380 -0.4905 -0.6315
0.81 23.94 1022.16 28.02 0.032208 -0.036600 1.013088 0.56 0.07 -0.77 -0.1305 -0.4830 -0.6390
0.82 23.88 1022.04 28.08 0.032208 -0.035624 1.012600 0.56 0.14 -0.77 -0.1320 -0.4920 -0.6360
0.84 23.88 1022.18 28.08 0.033184 -0.036112 1.012600 0.63 0.07 -0.77 -0.1320 -0.4965 -0.6375
0.85 23.88 1022.18 28.07 0.031720 -0.037088 1.013576 0.63 0.14 -0.77 -0.1425 -0.4935 -0.6345
0.86 23.88 1022.24 28.05 0.032696 -0.037088 1.013088 0.63 0.07 -0.77 -0.1290 -0.4905 -0.6405
0.87 23.88 1022.13 28.06 0.033672 -0.035624 1.012600 0.63 0.07 -0.77 -0.1425 -0.5010 -0.6360
0.89 23.88 1022.23 28.04 0.034160 -0.038064 1.013088 0.56 0.07 -0.77 -0.1305 -0.4935 -0.6375
0.90 23.88 1022.18 28.04 0.033672 -0.036112 1.013088 0.63 0.07 -0.77 -0.1365 -0.4845 -0.6360
0.91 23.88 1022.25 28.00 0.031720 -0.034648 1.012600 0.63 0.07 -0.84 -0.1425 -0.4935 -0.6345
0.93 23.88 1022.15 28.02 0.034648 -0.037576 1.013576 0.56 0.07 -0.77 -0.1305 -0.4905 -0.6375
0.95 23.94 1022.14 28.03 0.032696 -0.035624 1.012600 0.63 0.07 -0.84 -0.1455 -0.4905 -0.6315
0.96 23.94 1022.14 28.05 0.032208 -0.036112 1.012600 0.63 0.07 -0.84 -0.1320 -0.4890 -0.6435
